"Small Unit Installation Postcode","number_of_installations","total_output_kw","postcode","longitude","latitude","state"
"6043",95,433.87,"6043",115.424522,-31.141763,"WA"
"6044",422,2023.363,"6044",115.424656,-30.972846,"WA"
"6050",1926,10949.452,"6050",115.871864,-31.930574,"WA"
"6051",1137,5579.559,"6051",115.899589,-31.938107,"WA"
"6052",1637,8607.071,"6052",115.883976,-31.915463,"WA"
"6053",2556,14427.48,"6053",115.914851,-31.920863,"WA"
"6054",3801,19261.501,"6054",115.942572,-31.901801,"WA"
"6055",8310,48502.039,"6055",115.9734135,-31.82796346,"WA"
"6056",8464,43978.788,"6056",116.0261,-31.838398,"WA"
"6057",3739,17187.138,"6057",116.004245,-31.94994,"WA"
"6058",3151,14470.382,"6058",116.006688,-31.985241,"WA"
"6059",3976,19574.614,"6059",115.861726,-31.882862,"WA"
"6060",2536,12755.314,"6060",115.840879,-31.903241,"WA"
"6061",4380,19572.781,"6061",115.843478,-31.864113,"WA"
"6062",5686,28967.549,"6062",115.89088,-31.886322,"WA"
"6063",3266,15531.831,"6063",115.937824,-31.866822,"WA"
"6064",5444,24149.447,"6064",115.849098,-31.835333,"WA"
"6065",16420,89735.898,"6065",115.845329,-31.69444,"WA"
"6066",4019,18151.4,"6066",115.896508,-31.84269,"WA"
"6067",2,92.22,"6067",115.899644,-31.816059,"WA"
"6068",19,283.54,"6068",115.941108,-31.826199,"WA"
"6069",11194,56883.249,"6069",115.989248,-31.78156868,"WA"
"6070",837,4168.498,"6070",116.079266,-31.929036,"WA"
"6071",747,3637.518,"6071",116.100432,-31.889087,"WA"
"6072",214,979.718,"6072",116.132045,-31.907828,"WA"
"6073",735,3947.654,"6073",116.28143,-31.949349,"WA"
"6074",275,1344.612,"6074",116.20454,-31.896593,"WA"
"6076",4882,25022.522,"6076",116.208263,-32.108961,"WA"
"6077",507,3939.191,"6077",115.845329,-31.69444,"WA"
"6078",185,1627.914,"6078",115.845329,-31.69444,"WA"
"6079",3,19.825,"6079",115.845329,-31.69444,"WA"
"6081",1060,5333.862,"6081",116.146074,-31.876046,"WA"
